county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Vermilion County, Illinois,2016,39.2,9.8,4.3,88.2,23.8,7.9,11.1,63.6,29.4,4.2,36.4,1368,97.2,27.3,34.2,4.7,3.8,79613.0,0.4,0.1,0.8,40.1,6.5,18.4,(X),23570,56819,45481,1956,57309,20590,18480,9487,2.3,2.38,2.29,5.7,13.7,6.2,13.3,26.1,23.1,17.6,11744,11410,35893,1.7,1.1,82.1,2.5,3.3,2.4,3.0,0.0,3.8,2.38
Will County, Illinois,2016,26.6,22.2,12.5,91.2,21.7,4.9,8.3,75.0,36.8,3.9,25.0,79875,87.7,29.6,34.5,16.5,13.6,685378.0,1.1,0.2,7.2,37.0,6.2,33.2,(X),33945,98688,81438,2598,100401,32211,20162,9886,1.6,3.06,2.66,6.6,6.1,5.5,15.5,37.0,22.7,13.2,134695,49235,241817,2.4,11.7,75.3,2.1,3.0,2.2,2.0,0.0,1.3,3.06
Williamson County, Illinois,2016,27.5,15.0,9.5,91.6,29.3,6.4,10.2,60.4,24.0,3.3,39.6,574,98.3,23.5,31.4,2.4,1.6,67336.0,0.3,0.0,0.4,40.9,5.9,21.6,(X),24960,59894,48409,3008,62893,29409,18677,10923,3.6,2.61,2.11,5.4,7.0,9.1,12.5,26.7,29.5,15.2,9111,8912,30919,1.0,2.7,68.9,6.5,2.1,4.6,4.3,0.0,9.9,2.61
Winnebago County, Illinois,2016,31.1,14.2,8.2,86.4,25.1,10.1,7.8,64.9,28.5,5.8,35.1,21770,91.1,29.1,34.5,11.9,9.8,288896.0,1.0,0.2,3.5,39.3,6.3,22.2,(X),26873,65234,49749,4222,64929,22492,18286,9101,1.3,2.51,2.34,5.6,8.1,6.2,13.7,25.3,26.8,19.9,44852,26961,125357,2.1,4.0,71.2,6.9,4.9,5.9,3.8,0.0,1.3,2.51
Allen County, Indiana,2016,28.4,19.3,9.6,89.3,22.7,6.5,9.4,63.0,29.1,3.9,37.0,24744,92.6,31.3,36.2,7.1,5.1,365565.0,0.5,0.1,2.2,35.6,7.2,21.5,(X),26740,67135,51173,4378,69370,18197,20041,10054,1.3,2.7,2.25,5.9,6.3,5.7,13.2,24.0,30.3,20.3,62966,33459,156232,4.2,1.8,73.5,2.3,6.6,3.1,4.6,0.0,3.8,2.7
Bartholomew County, Indiana,2016,29.2,18.9,14.4,87.0,16.9,9.4,7.6,66.2,28.1,4.2,33.8,9120,88.6,22.7,30.8,6.3,5.3,80203.0,0.2,0.0,4.5,37.9,6.7,19.4,(X),29588,73017,59102,1889,74820,17952,19897,8228,1.1,2.59,2.43,5.9,10.4,5.5,13.7,22.4,31.3,16.6,13891,8345,33880,4.1,3.4,75.0,0.6,2.0,4.1,3.7,0.1,7.0,2.59
Clark County, Indiana,2016,33.8,13.2,7.2,88.7,25.6,8.1,8.9,66.0,27.5,4.8,34.0,4178,96.1,25.2,32.9,5.1,3.7,113993.0,0.4,0.1,1.2,38.8,6.4,23.4,(X),25767,66198,51401,1535,66926,16908,19779,8965,4.3,2.79,2.45,5.5,6.9,7.1,14.4,25.0,30.4,16.1,19716,9627,49765,3.7,4.1,70.3,2.9,4.0,4.1,5.7,0.0,5.1,2.79
Delaware County, Indiana,2016,36.7,12.5,10.1,89.9,22.0,7.5,8.6,57.0,22.4,4.9,43.0,2671,96.9,36.9,41.5,2.1,1.4,116463.0,0.3,0.0,0.7,35.1,5.1,20.1,(X),24255,56602,41041,3705,57036,16792,19331,9447,1.5,2.27,2.4,5.6,11.1,8.1,9.6,24.6,23.8,22.8,18470,11662,52426,2.5,1.7,73.3,4.9,4.8,3.7,5.0,0.0,4.2,2.27
Elkhart County, Indiana,2016,36.1,12.3,6.3,78.7,18.4,12.7,5.6,70.0,32.7,6.5,30.0,18052,90.7,26.9,31.7,15.0,12.4,201640.0,0.6,0.1,3.5,35.3,7.6,19.4,(X),23630,65321,54216,N,65292,16972,20410,9808,2.5,2.9,2.5,5.9,7.5,6.0,14.9,24.8,27.9,18.9,30832,17571,78179,3.8,1.8,72.6,2.5,5.0,4.0,3.7,0.0,6.5,2.9
Floyd County, Indiana,2016,31.1,17.9,10.1,89.5,22.2,7.3,8.2,63.8,22.4,4.6,36.2,1853,97.1,28.5,33.9,3.0,2.2,76290.0,0.2,0.1,1.2,40.0,6.0,23.3,(X),32251,80423,58586,471,84466,20528,20104,10174,1.2,2.77,2.2,5.6,8.6,10.2,13.1,25.4,27.5,15.2,12612,7328,32539,2.4,2.8,78.3,2.0,4.9,4.0,4.1,0.0,1.5,2.77
Grant County, Indiana,2016,39.2,9.3,7.3,85.6,22.4,10.2,7.5,63.8,24.0,5.4,36.2,610,98.0,31.3,34.5,4.1,3.4,68269.0,0.2,0.0,0.8,39.8,5.5,19.6,(X),19933,49367,37117,N,48054,21871,18011,11933,4.6,2.35,2.31,5.8,12.2,6.8,11.6,19.8,30.0,19.6,8796,7635,30287,1.4,1.9,72.9,4.8,4.4,4.1,2.5,0.0,8.0,2.35
Hamilton County, Indiana,2016,15.5,37.0,20.6,95.8,16.2,3.2,6.6,71.4,39.4,3.7,28.6,26011,91.0,24.0,26.0,3.7,2.3,303042.0,0.3,0.1,1.0,36.3,7.0,25.0,(X),44513,116274,89823,710,117938,25815,21613,9660,1.5,2.78,2.23,7.2,2.7,2.7,12.7,29.4,31.5,21.1,73199,18710,123948,4.7,4.9,75.4,0.3,4.4,3.6,5.2,0.0,1.5,2.78
Hancock County, Indiana,2016,32.4,21.7,8.7,93.8,20.9,5.1,10.0,72.5,32.8,3.5,27.5,1700,97.6,25.1,25.8,2.1,1.8,71955.0,0.0,0.1,0.2,39.8,5.6,26.4,N,31072,81328,67799,N,81610,19094,19901,10962,1.0,2.61,2.61,6.4,8.8,7.6,15.2,22.4,31.4,14.7,14941,6114,29547,1.7,2.5,81.3,3.8,3.1,3.5,2.6,0.0,1.5,2.61
Hendricks County, Indiana,2016,28.5,23.7,13.8,92.4,16.5,6.4,9.9,69.7,30.6,4.8,30.3,10394,93.3,22.3,29.0,3.5,1.9,155817.0,0.1,0.1,1.0,37.5,6.2,27.5,(X),32672,88073,78307,4118,87926,19327,22565,11937,0.5,2.89,1.92,6.4,4.8,6.1,12.7,29.8,26.4,20.1,34561,10699,60275,3.3,3.8,83.8,0.5,1.5,1.7,4.6,0.0,0.8,2.89
Howard County, Indiana,2016,39.1,12.9,8.4,91.0,22.7,7.4,7.9,65.0,27.0,4.3,35.0,1093,98.4,23.6,29.2,3.1,2.2,82728.0,0.1,0.1,0.9,41.5,6.0,18.2,(X),26636,62995,45702,2476,66553,18433,20280,10192,1.7,2.41,2.33,5.7,8.8,6.1,14.4,23.2,28.8,18.7,14556,8153,39100,3.0,3.1,73.6,1.8,5.8,6.1,3.1,0.0,3.5,2.41
Johnson County, Indiana,2016,30.7,20.2,12.2,90.3,18.9,7.2,8.3,71.9,31.6,5.4,28.1,7596,93.8,25.0,28.9,3.3,2.1,147567.0,0.3,0.0,1.7,37.4,6.5,25.5,(X),32706,86468,65991,1275,89004,19132,21267,9999,1.3,2.73,2.77,5.9,5.2,4.6,14.3,25.5,29.3,21.1,28734,10909,59835,4.8,7.2,75.2,1.5,1.6,2.6,3.6,0.1,3.5,2.73
Kosciusko County, Indiana,2016,35.1,12.5,8.4,81.3,17.8,11.7,7.5,71.2,28.4,7.2,28.8,2583,96.2,22.0,27.0,7.7,6.8,78461.0,0.2,0.1,2.7,37.8,6.5,19.4,(X),27193,69224,53963,2038,69735,20880,20273,12204,1.6,2.58,2.43,5.9,7.1,5.3,17.0,24.3,25.2,21.1,14172,8149,37908,1.2,2.1,76.5,1.8,2.3,2.2,2.0,0.0,11.9,2.58
Lake County, Indiana,2016,35.0,14.3,7.8,88.8,22.7,7.6,9.1,66.0,27.1,5.5,34.0,32189,91.8,32.6,38.9,18.0,14.1,489698.0,2.8,0.1,10.0,38.2,6.3,29.4,(X),27259,69932,53681,2129,73776,19845,18682,9674,1.5,2.63,2.49,5.5,11.3,7.4,13.9,26.8,24.6,15.9,82390,45745,211477,3.4,6.9,70.5,3.2,4.9,4.2,5.5,0.0,1.3,2.63
LaPorte County, Indiana,2016,39.6,12.1,6.1,89.9,22.2,7.6,9.9,65.7,25.4,6.0,34.3,3862,95.6,23.3,34.5,6.1,4.5,110993.0,0.9,0.1,2.5,40.0,6.0,23.4,(X),26407,67659,53507,3267,67374,18752,18596,9768,2.7,2.47,2.3,5.7,11.3,6.7,15.0,30.0,20.9,16.1,20790,10445,48829,1.9,4.8,74.7,3.2,2.9,3.1,2.9,0.0,6.6,2.47
Madison County, Indiana,2016,40.4,11.6,5.4,87.5,21.2,9.5,8.8,67.1,27.4,7.3,32.9,2949,97.4,25.1,32.2,3.7,2.6,129862.0,0.4,0.0,1.3,40.0,5.8,25.4,(X),24293,59751,45495,2920,59447,17417,19646,10792,1.5,2.4,2.49,5.5,11.7,6.9,13.4,24.7,27.8,15.5,21838,13728,58715,1.3,2.6,78.8,4.1,2.5,3.2,2.5,0.0,4.9,2.4
Marion County, Indiana,2016,28.2,19.9,10.2,87.1,21.0,8.2,7.9,55.2,24.7,4.4,44.8,89371,89.7,39.5,44.9,9.8,7.0,932142.0,0.6,0.1,4.6,34.1,7.5,23.6,(X),26988,65479,44874,3049,68020,19780,17871,10039,2.3,2.63,2.38,5.4,5.2,4.8,12.2,22.1,30.4,25.3,140967,53511,420900,6.2,8.4,59.2,2.0,7.5,5.5,9.9,0.1,1.4,2.63
Monroe County, Indiana,2016,24.2,24.0,19.5,91.1,16.4,7.0,7.2,48.8,19.7,2.5,51.2,11263,91.4,43.6,51.9,3.3,1.9,143292.0,0.4,0.1,0.8,28.6,4.5,18.5,(X),26918,66101,43582,3248,62414,25701,18832,10329,2.5,2.44,2.35,5.4,7.1,5.7,10.6,18.1,27.1,31.4,19734,10820,60803,8.0,5.8,54.9,1.3,7.8,6.2,9.9,0.0,6.1,2.44
Morgan County, Indiana,2016,42.9,10.5,5.5,89.9,21.7,7.8,9.3,72.2,27.1,6.1,27.8,654,98.8,20.9,27.3,1.4,0.8,69504.0,0.0,0.1,0.5,41.2,5.6,27.6,(X),27456,72662,60530,N,70183,15661,20779,12005,1.2,2.62,2.76,5.8,7.6,5.3,16.2,28.3,28.8,13.9,12313,6342,28081,0.9,5.2,76.2,1.3,1.8,2.9,2.1,0.0,9.7,2.62
Porter County, Indiana,2016,33.1,16.8,9.0,91.6,22.9,5.8,9.7,69.9,29.6,5.8,30.1,6436,95.5,27.6,32.3,9.4,6.3,167016.0,2.1,0.2,1.6,39.4,5.6,26.9,(X),31692,82284,66196,1770,84145,23661,18975,11701,1.0,2.65,2.43,6.0,7.3,7.0,15.4,29.0,24.5,16.8,33378,14732,67861,2.7,7.1,73.3,2.4,2.2,4.0,3.8,0.0,4.7,2.65
St. Joseph County, Indiana,2016,32.1,17.1,11.1,87.6,20.2,8.5,7.1,62.8,26.5,3.4,37.2,17695,92.6,33.8,40.9,8.1,6.7,267696.0,0.5,0.1,2.7,36.4,6.5,21.9,(X),24861,64649,48358,2848,69431,15646,18229,10603,2.6,2.76,2.41,6.0,8.4,8.8,15.9,22.9,25.4,18.7,40513,23916,115986,3.8,2.4,74.2,1.4,7.3,2.7,6.2,0.0,1.9,2.76
Tippecanoe County, Indiana,2016,26.3,21.4,15.6,91.6,20.9,5.6,7.5,58.8,29.2,4.2,41.2,20990,88.3,39.5,49.4,8.0,6.1,183397.0,0.3,0.1,1.8,27.9,6.1,18.5,(X),25998,69541,51361,1794,67925,19253,19037,9802,1.4,2.65,2.28,5.5,4.4,4.4,6.9,23.6,29.6,31.2,27437,11240,75119,7.6,3.2,64.0,2.4,8.3,4.3,7.9,0.0,2.4,2.65
Vanderburgh County, Indiana,2016,30.4,15.8,9.8,87.6,21.7,10.0,9.9,58.8,24.7,5.1,41.2,5622,96.4,31.9,35.6,2.5,2.0,181692.0,0.2,0.0,0.9,37.7,6.3,20.5,(X),27129,63945,46064,3271,59899,17954,18025,9292,2.2,2.38,2.27,5.3,7.7,4.9,13.7,22.2,29.4,22.1,28809,17834,83708,5.0,1.5,70.4,3.0,6.2,5.3,5.8,0.0,2.7,2.38
Vigo County, Indiana,2016,31.2,15.8,9.8,88.4,23.2,8.2,8.4,64.8,27.7,5.4,35.2,4338,95.3,28.2,42.6,2.5,1.7,108099.0,0.2,0.1,1.1,36.1,5.8,20.4,(X),22484,56349,43910,3250,54357,16072,18790,9070,3.5,2.52,2.37,5.4,7.4,5.7,11.7,26.9,27.4,20.7,16528,9137,46750,2.0,1.2,73.7,4.4,4.0,6.6,5.7,0.0,2.4,2.52
Wayne County, Indiana,2016,41.6,10.1,7.3,87.6,20.2,7.0,8.5,63.2,24.2,4.0,36.8,1866,97.0,22.6,32.8,2.8,1.9,67423.0,0.3,0.0,1.6,40.9,5.9,21.3,(X),22702,56553,43401,3106,57281,14768,18313,10096,0.9,2.67,1.93,5.8,9.3,7.8,14.2,24.9,26.4,17.4,11282,6247,31172,2.7,1.3,71.8,7.9,6.7,4.1,2.3,0.0,3.2,2.67
Black Hawk County, Iowa,2016,31.7,18.4,9.7,91.3,21.5,5.1,9.9,59.2,23.3,5.2,40.8,9933,92.3,32.3,38.3,4.1,3.3,132821.0,0.1,0.0,1.6,34.8,6.4,15.5,(X),28622,69997,50470,1492,71504,16892,18265,9436,1.4,2.49,2.3,5.6,9.4,7.3,10.8,23.8,26.3,22.5,22020,12051,57308,5.6,3.6,70.8,3.7,5.1,3.8,3.7,0.1,3.7,2.49
Dallas County, Iowa,2016,16.6,32.6,17.0,95.0,18.1,1.7,10.7,64.9,36.6,3.6,35.1,5484,92.8,25.3,29.1,6.1,3.5,78074.0,0.4,0.0,1.4,35.0,8.2,22.0,(X),41688,103298,75899,1647,100801,31967,21922,8666,1.0,2.68,2.1,6.6,3.3,3.8,7.0,23.9,38.2,23.7,18724,5681,34532,5.1,13.9,66.0,1.5,7.0,1.0,3.5,0.0,1.9,2.68
Dubuque County, Iowa,2016,33.0,18.7,10.4,92.8,22.0,5.0,8.7,68.1,30.0,3.1,31.9,2428,97.1,30.4,31.2,2.2,1.4,96359.0,0.2,0.0,0.4,38.5,6.2,16.0,(X),32588,82731,60456,1464,78343,19838,20138,8785,0.5,2.59,2.08,6.2,7.5,6.8,13.9,26.5,29.0,16.1,16964,10996,40876,2.1,3.3,71.8,4.2,5.0,6.0,4.4,0.0,3.3,2.59
Johnson County, Iowa,2016,15.7,28.1,26.0,93.8,16.3,3.1,7.8,56.1,27.1,2.3,43.9,18352,86.2,42.6,46.0,5.3,3.2,142006.0,0.3,0.1,2.3,29.9,6.2,18.5,(X),30438,76500,58064,N,76811,22640,21044,8204,1.0,2.65,2.06,5.6,3.8,3.2,11.2,18.7,32.2,30.8,22074,10989,61796,10.9,10.2,50.9,2.8,8.3,4.5,9.2,0.0,3.1,2.65
Linn County, Iowa,2016,26.4,25.2,10.2,94.2,20.4,4.0,12.0,62.7,29.4,4.2,37.3,8296,95.2,27.6,34.0,3.0,2.2,218076.0,0.2,0.0,1.0,37.2,6.4,19.0,(X),33689,82094,64639,2248,82482,20398,19755,8662,0.8,2.54,2.14,5.9,7.7,5.7,13.4,26.0,27.7,19.4,43285,22232,96287,5.5,4.6,67.9,1.5,5.7,5.7,4.5,0.0,4.7,2.54
Polk County, Iowa,2016,23.7,24.3,11.5,90.8,22.2,5.0,9.1,62.6,32.1,4.6,37.4,42679,90.3,30.1,36.3,8.0,6.3,459159.0,0.2,0.1,1.7,35.0,7.3,19.1,(X),32885,82405,64067,2624,82508,22888,19376,10836,0.7,2.65,2.35,5.4,4.9,5.8,11.8,26.1,29.5,21.9,86276,36075,196679,5.5,7.9,65.5,1.1,12.3,1.6,4.1,0.1,1.8,2.65
Pottawattamie County, Iowa,2016,33.5,14.1,7.4,91.5,24.6,6.9,11.7,64.8,27.0,5.2,35.2,3132,95.8,26.7,36.2,7.2,6.1,93198.0,0.1,0.0,1.4,39.3,6.4,19.6,(X),30632,75890,55972,1853,80042,16992,19253,9227,0.6,2.63,2.32,5.7,8.7,6.2,12.1,27.0,25.3,20.7,15768,8173,39631,3.3,2.2,74.8,3.1,5.9,2.1,4.6,0.0,3.9,2.63
Scott County, Iowa,2016,31.7,19.0,12.3,93.4,19.6,4.6,10.7,64.7,30.6,3.2,35.3,7131,95.1,26.2,35.2,6.3,5.2,171116.0,0.3,0.1,1.3,37.7,6.6,18.5,(X),29956,74517,54730,2321,77490,23732,18924,9713,0.5,2.62,2.37,5.8,7.4,5.4,13.3,24.0,31.9,18.0,30756,15392,73656,5.4,4.6,68.8,3.0,5.5,5.2,4.9,0.0,2.7,2.62
Story County, Iowa,2016,18.5,31.5,23.3,97.5,15.8,2.0,8.4,52.8,23.2,2.6,47.2,9776,88.7,45.8,51.2,3.2,1.9,94834.0,0.3,0.1,0.4,25.8,4.9,17.6,(X),27937,70682,53371,3572,67357,29026,19901,11778,0.0,2.49,2.19,5.5,5.4,2.8,10.0,23.1,24.2,34.6,N,N,39130,14.3,3.9,53.8,4.0,9.9,3.9,7.4,0.0,2.8,2.49
Woodbury County, Iowa,2016,30.2,14.0,8.6,84.8,21.7,9.0,10.2,66.3,32.7,5.0,33.7,7460,92.1,28.7,38.6,15.3,12.5,102426.0,0.2,0.2,3.7,35.3,7.4,19.1,(X),26376,68021,52324,1540,68372,18494,18228,10829,0.8,2.66,2.44,6.0,8.9,6.8,13.1,27.6,24.4,19.1,13763,11841,41982,1.7,3.0,73.2,3.0,4.0,5.8,5.5,0.3,3.5,2.66
Butler County, Kansas,2016,27.2,19.7,9.2,91.4,23.6,7.3,11.7,73.2,32.8,5.2,26.8,842,97.7,20.4,29.9,4.4,3.5,66264.0,0.4,0.1,0.4,38.0,6.0,21.9,(X),26279,71661,60182,1731,75355,16908,19834,10278,0.3,2.71,2.48,5.9,5.9,7.3,13.0,28.9,27.5,17.3,11606,5453,26564,1.3,1.8,76.7,2.1,4.5,2.7,3.2,0.0,7.7,2.71
Douglas County, Kansas,2016,18.4,28.4,23.6,95.0,18.3,3.7,6.2,53.9,23.6,2.9,46.1,8163,91.9,41.8,50.9,5.8,4.2,116352.0,0.5,0.2,1.4,29.1,5.3,20.6,(X),28581,73186,56345,N,70191,26738,18539,7199,3.0,2.78,2.09,5.3,2.7,3.9,11.5,20.3,33.9,27.7,16409,6463,49287,9.4,7.7,56.9,4.9,7.1,7.1,4.6,0.0,2.3,2.78
Johnson County, Kansas,2016,14.2,34.6,20.7,95.7,18.9,2.6,7.2,68.1,32.9,4.1,31.9,51996,90.2,25.6,30.1,7.3,5.5,572428.0,0.2,0.2,1.2,37.1,6.7,21.3,(X),42329,107288,80553,2124,105362,25135,21276,9412,0.9,2.74,2.21,6.6,4.0,5.7,11.8,27.5,27.9,23.0,107913,45517,238224,4.2,9.1,66.1,1.0,6.8,4.1,7.9,0.0,0.7,2.74
Leavenworth County, Kansas,2016,28.4,16.5,17.1,94.4,23.7,4.1,8.7,73.1,31.9,5.5,26.9,2765,94.4,21.2,31.7,6.7,4.9,78785.0,0.6,0.0,2.2,37.3,6.4,22.3,(X),31165,85412,68299,N,82812,28761,19907,8512,2.1,2.72,2.79,6.2,5.9,6.8,12.4,24.3,27.5,23.1,12455,5999,29418,0.7,7.2,77.2,2.8,1.7,4.9,4.2,0.0,1.4,2.72
Riley County, Kansas,2016,17.0,25.1,23.9,98.0,24.2,1.5,7.8,53.6,22.2,2.8,46.4,6640,88.8,45.4,54.2,7.8,4.5,75026.0,1.6,0.0,1.7,24.9,6.5,14.4,(X),26250,68478,50737,N,61769,37443,21588,9652,1.9,2.7,2.37,5.3,2.9,3.3,9.8,15.1,31.5,37.4,N,N,30372,10.0,9.0,49.3,8.6,10.1,4.6,6.0,0.0,2.3,2.7
Sedgwick County, Kansas,2016,25.9,20.1,11.4,89.1,24.1,7.2,7.7,62.3,28.0,4.2,37.7,42470,90.6,27.6,35.7,13.9,12.0,508221.0,0.5,0.1,2.5,34.8,7.5,19.7,(X),27077,68980,52193,3449,70658,21146,19138,9139,1.2,2.7,2.38,5.9,5.2,5.8,12.1,27.1,29.9,19.9,80159,44983,216535,4.9,3.0,72.9,3.1,5.5,4.0,3.1,0.1,3.4,2.7
Shawnee County, Kansas,2016,33.2,17.2,12.7,92.2,23.3,5.3,5.7,61.9,26.6,4.3,38.1,7096,95.2,26.7,33.2,11.7,10.0,178567.0,0.6,0.1,2.8,38.8,6.7,18.0,(X),29071,71877,55710,2548,74258,21505,18971,9870,1.5,2.56,2.33,5.5,6.8,7.1,11.7,24.1,28.5,21.7,26763,17196,79629,5.0,3.6,72.9,1.9,8.5,2.7,3.4,0.0,2.1,2.56
