,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",State,Arson
224,Throckmorton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas,0.0
225,Titus,45.0,1.0,11.0,1.0,32.0,179.0,87.0,84.0,8.0,texas,0.0
226,Trinity3,20.0,0.0,4.0,0.0,16.0,,,,9.0,texas,0.0
227,Tyler,75.0,2.0,13.0,5.0,55.0,238.0,122.0,92.0,24.0,texas,3.0
228,Upton,5.0,0.0,2.0,0.0,3.0,15.0,4.0,11.0,0.0,texas,0.0
229,Uvalde,11.0,3.0,0.0,1.0,7.0,103.0,40.0,61.0,2.0,texas,1.0
230,Val Verde,12.0,0.0,3.0,2.0,7.0,188.0,84.0,97.0,7.0,texas,5.0
231,Van Zandt,3.0,0.0,0.0,1.0,2.0,312.0,157.0,154.0,1.0,texas,0.0
232,Walker,91.0,1.0,20.0,6.0,64.0,276.0,99.0,130.0,47.0,texas,0.0
233,Ward,49.0,0.0,6.0,1.0,42.0,140.0,54.0,72.0,14.0,texas,1.0
234,Washington,26.0,0.0,5.0,2.0,19.0,131.0,68.0,59.0,4.0,texas,1.0
235,Wharton,74.0,0.0,16.0,2.0,56.0,315.0,123.0,159.0,33.0,texas,2.0
236,Wheeler,5.0,0.0,0.0,0.0,5.0,55.0,14.0,39.0,2.0,texas,2.0
237,Wilbarger,1.0,0.0,0.0,0.0,1.0,38.0,22.0,15.0,1.0,texas,0.0
238,Willacy,52.0,0.0,10.0,5.0,37.0,151.0,46.0,102.0,3.0,texas,1.0
239,Winkler,2.0,0.0,0.0,0.0,2.0,37.0,11.0,21.0,5.0,texas,0.0
240,Wood,43.0,1.0,16.0,2.0,24.0,292.0,143.0,129.0,20.0,texas,0.0
241,Yoakum,10.0,0.0,1.0,0.0,9.0,40.0,14.0,22.0,4.0,texas,0.0
242,Young,5.0,0.0,0.0,0.0,5.0,49.0,19.0,28.0,2.0,texas,0.0
243,Zavala,17.0,0.0,1.0,0.0,16.0,91.0,31.0,56.0,4.0,texas,0.0
244,,,,,,,,,,,texas,0.0
0,Berkeley,78.0,2.0,14.0,16.0,46.0,952.0,248.0,667.0,37.0,west-virginia,5.0
1,Boone,4.0,0.0,1.0,0.0,3.0,83.0,22.0,42.0,19.0,west-virginia,0.0
2,Brooke,5.0,0.0,1.0,1.0,3.0,61.0,20.0,36.0,5.0,west-virginia,0.0
3,Cabell,26.0,0.0,2.0,2.0,22.0,591.0,133.0,428.0,30.0,west-virginia,2.0
4,Fayette,73.0,2.0,2.0,5.0,64.0,284.0,108.0,157.0,19.0,west-virginia,2.0
5,Hancock,10.0,0.0,3.0,1.0,6.0,50.0,18.0,27.0,5.0,west-virginia,2.0
6,Jefferson,46.0,3.0,8.0,6.0,29.0,474.0,168.0,291.0,15.0,west-virginia,3.0
7,Marshall,42.0,0.0,3.0,0.0,39.0,117.0,65.0,43.0,9.0,west-virginia,0.0
8,Mineral,17.0,0.0,1.0,1.0,15.0,60.0,16.0,42.0,2.0,west-virginia,3.0
9,Monongalia,73.0,0.0,3.0,1.0,69.0,277.0,74.0,192.0,11.0,west-virginia,1.0
10,Ohio,46.0,0.0,9.0,0.0,37.0,148.0,39.0,104.0,5.0,west-virginia,1.0
11,Preston,56.0,0.0,5.0,0.0,51.0,81.0,36.0,35.0,10.0,west-virginia,0.0
12,Putnam,131.0,0.0,12.0,2.0,117.0,337.0,89.0,199.0,49.0,west-virginia,2.0
13,Raleigh,109.0,5.0,0.0,10.0,94.0,730.0,288.0,407.0,35.0,west-virginia,7.0
14,Wirt,7.0,0.0,0.0,0.0,7.0,23.0,6.0,16.0,1.0,west-virginia,0.0
15,Wood,101.0,0.0,11.0,4.0,86.0,296.0,83.0,192.0,21.0,west-virginia,2.0
16,Barbour,31.0,0.0,2.0,0.0,29.0,38.0,9.0,26.0,3.0,west-virginia,0.0
17,Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,west-virginia,0.0
18,Doddridge,2.0,0.0,1.0,0.0,1.0,19.0,8.0,10.0,1.0,west-virginia,1.0
19,Gilmer,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,1.0,west-virginia,0.0
20,Grant,4.0,0.0,0.0,0.0,4.0,10.0,3.0,7.0,0.0,west-virginia,0.0
21,Greenbrier,3.0,0.0,1.0,0.0,2.0,50.0,12.0,32.0,6.0,west-virginia,0.0
22,Hardy,16.0,1.0,0.0,0.0,15.0,6.0,0.0,5.0,1.0,west-virginia,0.0
23,Harrison,56.0,0.0,8.0,5.0,43.0,181.0,66.0,96.0,19.0,west-virginia,6.0
24,Jackson,95.0,1.0,1.0,0.0,93.0,70.0,24.0,38.0,8.0,west-virginia,0.0
25,Lewis,0.0,0.0,0.0,0.0,0.0,57.0,13.0,44.0,0.0,west-virginia,2.0
26,Logan,97.0,1.0,2.0,1.0,93.0,49.0,12.0,32.0,5.0,west-virginia,2.0
27,Mason,12.0,0.0,3.0,3.0,6.0,173.0,81.0,76.0,16.0,west-virginia,5.0
28,McDowell,15.0,2.0,0.0,2.0,11.0,33.0,16.0,16.0,1.0,west-virginia,0.0
29,Mercer,80.0,4.0,5.0,13.0,58.0,376.0,119.0,231.0,26.0,west-virginia,1.0
30,Mingo,1.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,west-virginia,0.0
31,Monroe,3.0,0.0,0.0,0.0,3.0,41.0,14.0,24.0,3.0,west-virginia,1.0
32,Morgan,50.0,0.0,5.0,0.0,45.0,70.0,20.0,48.0,2.0,west-virginia,0.0
33,Nicholas,123.0,1.0,5.0,2.0,115.0,110.0,32.0,77.0,1.0,west-virginia,0.0
34,Pleasants,5.0,0.0,0.0,0.0,5.0,12.0,5.0,7.0,0.0,west-virginia,0.0
35,Pocahontas,8.0,0.0,0.0,0.0,8.0,9.0,2.0,7.0,0.0,west-virginia,0.0
36,Randolph,74.0,2.0,1.0,0.0,71.0,127.0,28.0,99.0,0.0,west-virginia,2.0
37,Ritchie,0.0,0.0,0.0,0.0,0.0,30.0,6.0,23.0,1.0,west-virginia,0.0
38,Roane,21.0,0.0,3.0,1.0,17.0,63.0,1.0,51.0,11.0,west-virginia,0.0
39,Summers,15.0,0.0,3.0,1.0,11.0,28.0,15.0,13.0,0.0,west-virginia,0.0
40,Tyler,10.0,0.0,0.0,0.0,10.0,19.0,9.0,10.0,0.0,west-virginia,0.0
41,Upshur,5.0,1.0,0.0,0.0,4.0,72.0,10.0,46.0,16.0,west-virginia,0.0
42,Wetzel,3.0,0.0,1.0,0.0,2.0,26.0,15.0,11.0,0.0,west-virginia,0.0
43,Wyoming,39.0,0.0,1.0,1.0,37.0,67.0,22.0,43.0,2.0,west-virginia,2.0
0,New Castle County Police Department,969.0,14.0,44.0,212.0,699.0,5485.0,1318.0,3667.0,500.0,delaware,1.0
0,Cochise,212.0,2.0,10.0,4.0,196.0,606.0,89.0,458.0,59.0,arizona,0.0
1,Coconino,99.0,3.0,15.0,4.0,77.0,419.0,113.0,288.0,18.0,arizona,20.0
2,Maricopa,1146.0,22.0,100.0,110.0,914.0,5365.0,1250.0,3455.0,660.0,arizona,77.0
3,Pima,652.0,18.0,77.0,172.0,385.0,8936.0,1674.0,6660.0,602.0,arizona,69.0
4,Pinal,263.0,4.0,44.0,13.0,202.0,1640.0,442.0,987.0,211.0,arizona,10.0
5,Yavapai,226.0,4.0,22.0,9.0,191.0,1028.0,280.0,653.0,95.0,arizona,12.0
6,Yuma,131.0,6.0,20.0,6.0,99.0,1004.0,387.0,535.0,82.0,arizona,5.0
7,Graham,5.0,0.0,1.0,0.0,4.0,129.0,30.0,95.0,4.0,arizona,13.0
8,Greenlee,0.0,0.0,0.0,0.0,0.0,60.0,30.0,16.0,14.0,arizona,0.0
9,La Paz,38.0,3.0,2.0,3.0,30.0,407.0,155.0,222.0,30.0,arizona,0.0
10,Navajo,73.0,6.0,8.0,4.0,55.0,409.0,159.0,214.0,36.0,arizona,6.0
0,Custer,4.0,0.0,1.0,0.0,3.0,42.0,8.0,30.0,4.0,south-dakota,0.0
1,Lincoln,14.0,0.0,1.0,1.0,12.0,216.0,65.0,139.0,12.0,south-dakota,1.0
2,McCook,3.0,0.0,0.0,0.0,3.0,32.0,7.0,22.0,3.0,south-dakota,0.0
3,Meade,23.0,2.0,4.0,0.0,17.0,104.0,25.0,66.0,13.0,south-dakota,1.0
4,Minnehaha,47.0,4.0,6.0,1.0,36.0,424.0,171.0,222.0,31.0,south-dakota,3.0
5,Pennington,118.0,1.0,52.0,5.0,60.0,382.0,78.0,280.0,24.0,south-dakota,1.0
6,Turner,11.0,0.0,1.0,0.0,10.0,50.0,10.0,31.0,9.0,south-dakota,0.0
7,Union,10.0,0.0,3.0,0.0,7.0,46.0,4.0,39.0,3.0,south-dakota,0.0
8,Aurora,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,south-dakota,0.0
9,Beadle,5.0,1.0,0.0,0.0,4.0,14.0,4.0,6.0,4.0,south-dakota,0.0
10,Bennett,3.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,3.0,south-dakota,0.0
11,Bon Homme,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,south-dakota,0.0
12,Brookings,6.0,0.0,0.0,0.0,6.0,53.0,12.0,37.0,4.0,south-dakota,0.0
13,Brown,9.0,0.0,1.0,0.0,8.0,41.0,11.0,25.0,5.0,south-dakota,0.0
14,Butte,1.0,0.0,0.0,0.0,1.0,87.0,11.0,71.0,5.0,south-dakota,0.0
15,Campbell,1.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,south-dakota,0.0
16,Charles Mix,6.0,0.0,1.0,1.0,4.0,36.0,20.0,10.0,6.0,south-dakota,1.0
17,Clark,3.0,0.0,2.0,0.0,1.0,8.0,3.0,5.0,0.0,south-dakota,0.0
18,Clay,9.0,0.0,1.0,0.0,8.0,67.0,30.0,35.0,2.0,south-dakota,0.0
19,Codington,9.0,0.0,2.0,0.0,7.0,40.0,3.0,33.0,4.0,south-dakota,0.0
20,Corson,1.0,0.0,0.0,1.0,0.0,32.0,7.0,22.0,3.0,south-dakota,0.0
21,Davison,3.0,0.0,2.0,0.0,1.0,18.0,5.0,8.0,5.0,south-dakota,0.0
22,Deuel,1.0,0.0,0.0,0.0,1.0,27.0,4.0,20.0,3.0,south-dakota,0.0
23,Dewey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,south-dakota,0.0
24,Douglas,2.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,south-dakota,0.0
25,Edmunds,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,south-dakota,0.0
26,Faulk,0.0,0.0,0.0,0.0,0.0,14.0,5.0,9.0,0.0,south-dakota,1.0
27,Hamlin,6.0,0.0,1.0,0.0,5.0,17.0,4.0,12.0,1.0,south-dakota,0.0
28,Harding,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,south-dakota,0.0
29,Hughes,7.0,0.0,1.0,0.0,6.0,21.0,11.0,7.0,3.0,south-dakota,0.0
30,Hutchinson,0.0,0.0,0.0,0.0,0.0,11.0,9.0,1.0,1.0,south-dakota,0.0
31,Jerauld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,south-dakota,0.0
32,Lawrence,8.0,0.0,0.0,2.0,6.0,168.0,14.0,152.0,2.0,south-dakota,0.0
33,Marshall,9.0,0.0,5.0,0.0,4.0,47.0,14.0,26.0,7.0,south-dakota,0.0
34,McPherson,1.0,0.0,1.0,0.0,0.0,14.0,7.0,4.0,3.0,south-dakota,0.0
35,Miner,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,south-dakota,0.0
36,Moody,4.0,0.0,0.0,0.0,4.0,12.0,3.0,9.0,0.0,south-dakota,0.0
37,Oglala Lakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,south-dakota,0.0
38,Potter,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,south-dakota,0.0
39,Roberts,10.0,0.0,0.0,0.0,10.0,13.0,4.0,5.0,4.0,south-dakota,0.0
40,Sanborn,8.0,1.0,1.0,0.0,6.0,29.0,12.0,16.0,1.0,south-dakota,1.0
41,Spink,2.0,0.0,1.0,0.0,1.0,38.0,10.0,28.0,0.0,south-dakota,0.0
42,Stanley,4.0,0.0,1.0,0.0,3.0,11.0,6.0,1.0,4.0,south-dakota,0.0
43,Sully,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,south-dakota,0.0
44,Tripp,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,1.0,south-dakota,0.0
45,Walworth,4.0,0.0,1.0,1.0,2.0,4.0,0.0,4.0,0.0,south-dakota,0.0
46,Yankton,16.0,0.0,4.0,0.0,12.0,38.0,15.0,16.0,7.0,south-dakota,0.0
47,Ziebach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,south-dakota,0.0
0,Canadian,15.0,0.0,3.0,1.0,11.0,144.0,29.0,97.0,18.0,oklahoma,0.0
1,Cleveland,58.0,1.0,14.0,3.0,40.0,286.0,102.0,144.0,40.0,oklahoma,6.0
2,Comanche,21.0,0.0,3.0,2.0,16.0,273.0,109.0,129.0,35.0,oklahoma,2.0
3,Cotton,2.0,0.0,0.0,0.0,2.0,40.0,9.0,30.0,1.0,oklahoma,1.0
4,Creek,57.0,2.0,11.0,3.0,41.0,431.0,139.0,233.0,59.0,oklahoma,6.0
5,Garfield,17.0,0.0,6.0,0.0,11.0,152.0,52.0,82.0,18.0,oklahoma,6.0
6,Grady,34.0,0.0,7.0,0.0,27.0,334.0,114.0,187.0,33.0,oklahoma,6.0
7,Le Flore,68.0,3.0,8.0,2.0,55.0,376.0,139.0,207.0,30.0,oklahoma,5.0
8,Lincoln,25.0,1.0,5.0,2.0,17.0,149.0,50.0,81.0,18.0,oklahoma,4.0
9,Logan,34.0,1.0,12.0,1.0,20.0,327.0,145.0,152.0,30.0,oklahoma,3.0
10,McClain,26.0,1.0,8.0,2.0,15.0,251.0,89.0,135.0,27.0,oklahoma,3.0
11,Oklahoma,32.0,5.0,3.0,0.0,24.0,183.0,52.0,97.0,34.0,oklahoma,0.0
12,Okmulgee,36.0,1.0,5.0,3.0,27.0,309.0,145.0,127.0,37.0,oklahoma,4.0
13,Osage,47.0,0.0,13.0,4.0,30.0,370.0,131.0,199.0,40.0,oklahoma,4.0
14,Pawnee,36.0,0.0,0.0,9.0,27.0,93.0,47.0,28.0,18.0,oklahoma,2.0
15,Rogers,89.0,2.0,14.0,6.0,67.0,626.0,260.0,296.0,70.0,oklahoma,8.0
16,Sequoyah,72.0,0.0,13.0,1.0,58.0,406.0,171.0,186.0,49.0,oklahoma,6.0
17,Tulsa,241.0,2.0,26.0,12.0,201.0,929.0,403.0,341.0,185.0,oklahoma,6.0
18,Wagoner,68.0,1.0,12.0,6.0,49.0,601.0,231.0,313.0,57.0,oklahoma,10.0
19,Adair,73.0,0.0,1.0,1.0,71.0,191.0,75.0,95.0,21.0,oklahoma,3.0
20,Alfalfa,3.0,0.0,1.0,0.0,2.0,16.0,5.0,9.0,2.0,oklahoma,1.0
21,Atoka,3.0,0.0,1.0,1.0,1.0,55.0,20.0,28.0,7.0,oklahoma,2.0
22,Beaver,0.0,0.0,0.0,0.0,0.0,27.0,9.0,17.0,1.0,oklahoma,0.0
23,Beckham,21.0,0.0,2.0,1.0,18.0,148.0,60.0,76.0,12.0,oklahoma,8.0
24,Blaine,2.0,0.0,0.0,1.0,1.0,41.0,24.0,15.0,2.0,oklahoma,0.0
25,Caddo,21.0,0.0,3.0,0.0,18.0,184.0,55.0,114.0,15.0,oklahoma,3.0
26,Carter,20.0,1.0,6.0,0.0,13.0,205.0,96.0,101.0,8.0,oklahoma,2.0
27,Cherokee,88.0,0.0,10.0,5.0,73.0,436.0,173.0,211.0,52.0,oklahoma,10.0
28,Choctaw,16.0,0.0,0.0,0.0,16.0,102.0,75.0,17.0,10.0,oklahoma,2.0
29,Cimarron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oklahoma,0.0
30,Coal,4.0,0.0,1.0,0.0,3.0,51.0,14.0,29.0,8.0,oklahoma,1.0
31,Craig,7.0,0.0,2.0,1.0,4.0,82.0,37.0,41.0,4.0,oklahoma,2.0
32,Custer,8.0,0.0,3.0,0.0,5.0,73.0,25.0,42.0,6.0,oklahoma,2.0
33,Delaware,47.0,0.0,7.0,3.0,37.0,237.0,103.0,107.0,27.0,oklahoma,4.0
34,Dewey,2.0,0.0,0.0,0.0,2.0,31.0,17.0,14.0,0.0,oklahoma,0.0
35,Ellis,4.0,0.0,0.0,0.0,4.0,44.0,20.0,22.0,2.0,oklahoma,0.0
36,Garvin,49.0,1.0,8.0,0.0,40.0,295.0,87.0,167.0,41.0,oklahoma,5.0
37,Grant,2.0,0.0,2.0,0.0,0.0,27.0,14.0,12.0,1.0,oklahoma,2.0
38,Harmon,0.0,0.0,0.0,0.0,0.0,20.0,8.0,12.0,0.0,oklahoma,0.0
39,Harper,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,oklahoma,0.0
40,Haskell,11.0,0.0,1.0,1.0,9.0,52.0,20.0,28.0,4.0,oklahoma,2.0
41,Hughes,12.0,0.0,2.0,2.0,8.0,104.0,34.0,54.0,16.0,oklahoma,2.0
42,Jackson,16.0,1.0,2.0,0.0,13.0,58.0,25.0,26.0,7.0,oklahoma,1.0
43,Jefferson,3.0,0.0,2.0,0.0,1.0,51.0,10.0,36.0,5.0,oklahoma,3.0
44,Johnston,12.0,0.0,3.0,0.0,9.0,118.0,48.0,54.0,16.0,oklahoma,4.0
45,Kay,36.0,0.0,1.0,1.0,34.0,76.0,43.0,23.0,10.0,oklahoma,1.0
46,Kingfisher,3.0,0.0,2.0,0.0,1.0,34.0,7.0,24.0,3.0,oklahoma,1.0
47,Kiowa,1.0,0.0,0.0,0.0,1.0,44.0,12.0,29.0,3.0,oklahoma,0.0
48,Latimer,8.0,0.0,0.0,0.0,8.0,65.0,27.0,29.0,9.0,oklahoma,3.0
49,Love,5.0,0.0,1.0,1.0,3.0,35.0,7.0,21.0,7.0,oklahoma,1.0
50,Major,3.0,0.0,0.0,0.0,3.0,55.0,27.0,25.0,3.0,oklahoma,0.0
51,Marshall,19.0,0.0,1.0,0.0,18.0,184.0,81.0,91.0,12.0,oklahoma,0.0
52,Mayes,28.0,1.0,7.0,0.0,20.0,287.0,124.0,129.0,34.0,oklahoma,4.0
53,McCurtain,25.0,0.0,1.0,3.0,21.0,308.0,118.0,169.0,21.0,oklahoma,4.0
54,McIntosh,47.0,2.0,2.0,1.0,42.0,210.0,89.0,94.0,27.0,oklahoma,5.0
55,Murray,10.0,0.0,1.0,0.0,9.0,27.0,9.0,14.0,4.0,oklahoma,0.0
56,Muskogee,66.0,0.0,5.0,1.0,60.0,261.0,96.0,120.0,45.0,oklahoma,15.0
57,Noble,6.0,2.0,1.0,0.0,3.0,90.0,37.0,47.0,6.0,oklahoma,1.0
58,Nowata,2.0,0.0,0.0,0.0,2.0,52.0,17.0,30.0,5.0,oklahoma,2.0
59,Okfuskee,19.0,0.0,1.0,0.0,18.0,93.0,41.0,30.0,22.0,oklahoma,1.0
60,Payne,46.0,2.0,10.0,1.0,33.0,308.0,118.0,160.0,30.0,oklahoma,7.0
61,Pittsburg,45.0,2.0,9.0,0.0,34.0,368.0,167.0,171.0,30.0,oklahoma,15.0
62,Pontotoc,24.0,0.0,6.0,0.0,18.0,184.0,78.0,85.0,21.0,oklahoma,2.0
63,Pottawatomie,56.0,1.0,5.0,0.0,50.0,426.0,143.0,205.0,78.0,oklahoma,5.0
64,Pushmataha,2.0,0.0,0.0,0.0,2.0,48.0,28.0,11.0,9.0,oklahoma,3.0
65,Roger Mills,8.0,0.0,0.0,0.0,8.0,49.0,13.0,28.0,8.0,oklahoma,2.0
66,Seminole,22.0,2.0,4.0,1.0,15.0,237.0,79.0,129.0,29.0,oklahoma,5.0
67,Stephens,10.0,0.0,3.0,0.0,7.0,222.0,71.0,127.0,24.0,oklahoma,1.0
68,Texas,9.0,0.0,2.0,0.0,7.0,51.0,20.0,28.0,3.0,oklahoma,0.0
69,Tillman,3.0,0.0,0.0,0.0,3.0,37.0,15.0,20.0,2.0,oklahoma,0.0
70,Washita,19.0,0.0,4.0,0.0,15.0,93.0,29.0,53.0,11.0,oklahoma,3.0
71,Woods,4.0,0.0,0.0,0.0,4.0,36.0,14.0,19.0,3.0,oklahoma,0.0
72,Woodward,14.0,0.0,2.0,0.0,12.0,71.0,18.0,48.0,5.0,oklahoma,0.0
0,Ada,202.0,1.0,53.0,12.0,136.0,700.0,154.0,502.0,44.0,idaho,9.0
1,Bannock,5.0,1.0,0.0,0.0,4.0,35.0,7.0,25.0,3.0,idaho,2.0
2,Boise,14.0,1.0,1.0,0.0,12.0,63.0,12.0,46.0,5.0,idaho,0.0
3,Bonneville,151.0,0.0,11.0,5.0,135.0,682.0,191.0,455.0,36.0,idaho,6.0
4,Butte,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,idaho,0.0
5,Canyon,93.0,1.0,14.0,0.0,78.0,528.0,212.0,271.0,45.0,idaho,6.0
6,Franklin,2.0,0.0,0.0,0.0,2.0,49.0,4.0,42.0,3.0,idaho,0.0
7,Gem,19.0,0.0,3.0,0.0,16.0,31.0,10.0,19.0,2.0,idaho,2.0
8,Jefferson,17.0,0.0,3.0,0.0,14.0,117.0,32.0,81.0,4.0,idaho,0.0
9,Kootenai,103.0,6.0,19.0,6.0,72.0,1174.0,346.0,769.0,59.0,idaho,11.0
10,Nez Perce,8.0,0.0,1.0,1.0,6.0,108.0,31.0,72.0,5.0,idaho,0.0
11,Owyhee,18.0,1.0,1.0,0.0,16.0,65.0,15.0,43.0,7.0,idaho,1.0
12,Adams,4.0,0.0,0.0,0.0,4.0,33.0,3.0,27.0,3.0,idaho,0.0
13,Bear Lake,2.0,0.0,0.0,0.0,2.0,26.0,12.0,14.0,0.0,idaho,0.0
14,Benewah,18.0,2.0,1.0,0.0,15.0,71.0,22.0,43.0,6.0,idaho,0.0
15,Bingham,41.0,0.0,15.0,0.0,26.0,203.0,52.0,111.0,40.0,idaho,2.0
16,Blaine,5.0,0.0,1.0,0.0,4.0,42.0,14.0,24.0,4.0,idaho,1.0
17,Bonner,63.0,1.0,13.0,2.0,47.0,376.0,150.0,198.0,28.0,idaho,3.0
18,Boundary,6.0,0.0,2.0,0.0,4.0,85.0,40.0,39.0,6.0,idaho,1.0
19,Camas,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,idaho,0.0
20,Caribou,1.0,0.0,0.0,0.0,1.0,11.0,4.0,4.0,3.0,idaho,0.0
21,Cassia,49.0,0.0,8.0,3.0,38.0,363.0,133.0,207.0,23.0,idaho,1.0
22,Clark,3.0,0.0,1.0,0.0,2.0,8.0,1.0,6.0,1.0,idaho,0.0
23,Clearwater,14.0,1.0,0.0,0.0,13.0,57.0,20.0,30.0,7.0,idaho,4.0
24,Custer,2.0,0.0,1.0,0.0,1.0,27.0,4.0,21.0,2.0,idaho,0.0
25,Elmore,14.0,0.0,1.0,1.0,12.0,58.0,14.0,39.0,5.0,idaho,0.0
26,Fremont,6.0,0.0,3.0,0.0,3.0,62.0,9.0,50.0,3.0,idaho,0.0
27,Gooding,12.0,0.0,1.0,0.0,11.0,64.0,23.0,32.0,9.0,idaho,0.0
28,Idaho,24.0,0.0,5.0,0.0,19.0,99.0,41.0,52.0,6.0,idaho,0.0
29,Jerome,31.0,0.0,2.0,0.0,29.0,116.0,56.0,48.0,12.0,idaho,2.0
30,Latah,32.0,0.0,5.0,0.0,27.0,163.0,66.0,90.0,7.0,idaho,1.0
31,Lemhi,7.0,1.0,0.0,1.0,5.0,31.0,17.0,10.0,4.0,idaho,0.0
32,Lewis,2.0,0.0,0.0,0.0,2.0,16.0,3.0,12.0,1.0,idaho,0.0
33,Lincoln,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,idaho,0.0
34,Madison,15.0,0.0,9.0,0.0,6.0,85.0,40.0,39.0,6.0,idaho,1.0
35,Minidoka,18.0,0.0,3.0,0.0,15.0,141.0,34.0,93.0,14.0,idaho,0.0
36,Oneida,5.0,0.0,1.0,0.0,4.0,34.0,14.0,18.0,2.0,idaho,0.0
37,Payette,13.0,0.0,3.0,0.0,10.0,77.0,21.0,50.0,6.0,idaho,1.0
38,Power,0.0,0.0,0.0,0.0,0.0,28.0,5.0,18.0,5.0,idaho,2.0
39,Shoshone,47.0,0.0,4.0,2.0,41.0,158.0,49.0,90.0,19.0,idaho,0.0
40,Teton,6.0,1.0,0.0,0.0,5.0,74.0,14.0,53.0,7.0,idaho,0.0
41,Twin Falls,34.0,0.0,4.0,2.0,28.0,236.0,120.0,86.0,30.0,idaho,1.0
42,Valley,11.0,0.0,4.0,0.0,7.0,67.0,19.0,47.0,1.0,idaho,0.0
43,Washington,8.0,0.0,7.0,0.0,1.0,46.0,13.0,33.0,0.0,idaho,0.0
0,Box Elder,18.0,0.0,7.0,0.0,11.0,228.0,61.0,148.0,19.0,utah,0.0
1,Cache,17.0,0.0,7.0,2.0,8.0,237.0,56.0,162.0,19.0,utah,0.0
2,Davis,20.0,0.0,11.0,0.0,9.0,238.0,41.0,190.0,7.0,utah,1.0
3,Juab,6.0,0.0,0.0,0.0,6.0,88.0,14.0,65.0,9.0,utah,0.0
4,Salt Lake County Unified Police Department,861.0,17.0,126.0,246.0,472.0,12091.0,1845.0,8594.0,1652.0,utah,22.0
5,Utah,40.0,1.0,12.0,0.0,27.0,363.0,73.0,268.0,22.0,utah,1.0
6,Washington,29.0,0.0,8.0,1.0,20.0,137.0,43.0,81.0,13.0,utah,0.0
7,Weber,36.0,1.0,11.0,4.0,20.0,936.0,197.0,666.0,73.0,utah,1.0
8,Beaver,1.0,1.0,0.0,0.0,0.0,119.0,29.0,81.0,9.0,utah,4.0
9,Carbon,11.0,0.0,2.0,1.0,8.0,86.0,22.0,62.0,2.0,utah,2.0
10,Duchesne,38.0,1.0,12.0,0.0,25.0,331.0,79.0,195.0,57.0,utah,2.0
11,Emery,16.0,3.0,2.0,0.0,11.0,106.0,22.0,71.0,13.0,utah,1.0
12,Iron,25.0,0.0,3.0,1.0,21.0,146.0,57.0,70.0,19.0,utah,2.0
13,Kane,10.0,0.0,3.0,0.0,7.0,19.0,1.0,10.0,8.0,utah,0.0
14,Millard,38.0,0.0,5.0,2.0,31.0,203.0,29.0,149.0,25.0,utah,3.0
15,Rich,2.0,0.0,0.0,0.0,2.0,32.0,14.0,18.0,0.0,utah,0.0
16,San Juan,7.0,1.0,0.0,1.0,5.0,73.0,16.0,52.0,5.0,utah,1.0
17,Sanpete,22.0,0.0,7.0,0.0,15.0,145.0,33.0,102.0,10.0,utah,0.0
18,Sevier,15.0,1.0,3.0,0.0,11.0,149.0,29.0,108.0,12.0,utah,0.0
19,Summit,25.0,0.0,6.0,4.0,15.0,472.0,55.0,390.0,27.0,utah,2.0
20,Uintah,19.0,0.0,5.0,1.0,13.0,260.0,68.0,158.0,34.0,utah,0.0
21,Wasatch,12.0,0.0,2.0,0.0,10.0,78.0,14.0,56.0,8.0,utah,1.0
0,Bernalillo,763.0,9.0,,122.0,580.0,2820.0,909.0,1452.0,459.0,new-mexico,103.0
1,Dona Ana,188.0,6.0,,6.0,134.0,834.0,308.0,437.0,89.0,new-mexico,0.0
