"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01001","5","10","71","0","2016","A","",798,8193,295313217,73579121,1098931,693,36046,"",0.96,0.90,0.89,1.02,1.01,0.99,0.99,"",14,1.8,101,1.2,16824061,6.0,3373542,4.8,-231556,-17.4,31,4.7,1632,4.7
"01003","0","10","70","0","2016","A","",5822,70107,2405999881,567325614,8161380,660,34319,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",226,4.0,2522,3.7,116007360,5.1,25397373,4.7,-2131832,-20.7,8,1.2,436,1.3
"01003","1","10","71","0","2016","A","",32,341,19815947,0,0,1119,58197,"",0.88,0.25,0.29,0.00,0.00,1.16,1.16,"",-1,-3.0,10,3.0,425817,2.2,0,0.0,0,0.0,-9,-0.8,-472,-0.8
"01003","2","10","71","0","2016","A","",36,1156,43849013,0,0,729,37918,"",0.87,0.51,0.53,0.00,0.00,1.04,1.04,"",2,5.9,-4,-0.3,1112922,2.6,0,0.0,0,0.0,21,3.0,1084,2.9
"01003","3","10","71","0","2016","A","",84,7692,306205912,4305209,26617,766,39807,"",0.83,1.11,1.43,0.55,0.57,1.28,1.28,"",1,1.2,160,2.1,8650211,2.9,282206,7.0,-10379,-28.1,6,0.8,303,0.8
"01003","5","10","71","0","2016","A","",5669,60918,2036129009,563020405,8134763,643,33424,"",1.00,1.02,1.00,1.01,1.00,0.98,0.98,"",223,4.1,2356,4.0,105818410,5.5,25115167,4.7,-2121453,-20.7,9,1.4,462,1.4
"01005","0","10","70","0","2016","A","",551,7937,280568726,60012865,956807,680,35349,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-1.8,-265,-3.2,-6919478,-2.4,-1191343,-1.9,-412964,-30.1,6,0.9,296,0.8
"01005","1","10","71","0","2016","A","",8,54,2965145,0,0,1058,54995,"",2.34,0.35,0.37,0.00,0.00,1.06,1.06,"",-1,-11.1,-2,-3.6,48884,1.7,0,0.0,0,0.0,52,5.2,2685,5.1
"01005","2","10","71","0","2016","A","",19,603,24254385,0,0,774,40240,"",4.84,2.36,2.52,0.00,0.00,1.07,1.07,"",0,0.0,-38,-5.9,-1628160,-6.3,0,0.0,0,0.0,-2,-0.3,-128,-0.3
"01005","3","10","71","0","2016","A","",32,930,31526172,676568,12263,652,33890,"",3.33,1.19,1.26,0.82,2.25,1.06,1.06,"",-2,-5.9,-22,-2.3,581649,1.9,-74970,-10.0,-3649,-22.9,27,4.3,1391,4.3
"01005","5","10","71","0","2016","A","",492,6350,221823024,59336297,944544,672,34932,"",0.92,0.94,0.93,1.01,0.99,0.99,0.99,"",-7,-1.4,-203,-3.1,-5921851,-2.6,-1116373,-1.8,-409315,-30.2,4,0.6,175,0.5
"01007","0","10","70","0","2016","A","",341,4144,162759631,27967765,506410,755,39274,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.9,69,1.7,9087167,5.9,951225,3.5,-99024,-16.4,30,4.1,1559,4.1
"01007","1","10","71","0","2016","A","",9,74,4632284,0,0,1201,62458,"",4.25,0.91,0.99,0.00,0.00,1.09,1.09,"",-1,-10.0,-2,-2.6,-160708,-3.4,0,0.0,0,0.0,-14,-1.2,-746,-1.2
"01007","2","10","71","0","2016","A","",12,228,10226997,0,0,863,44888,"",4.94,1.71,1.83,0.00,0.00,1.07,1.07,"",1,9.1,-12,-5.0,8898,0.1,0,0.0,0,0.0,43,5.2,2253,5.3
"01007","3","10","71","0","2016","A","",31,974,31396772,539162,5729,620,32238,"",5.22,2.38,2.16,1.41,1.99,0.91,0.91,"",0,0.0,30,3.2,931755,3.1,53016,10.9,1403,32.4,0,0.0,-26,-0.1
"01007","5","10","71","0","2016","A","",289,2868,116503578,27428603,500681,781,40617,"",0.87,0.81,0.84,1.00,1.00,1.04,1.04,"",3,1.0,53,1.9,8307222,7.7,898209,3.4,-100427,-16.7,42,5.7,2179,5.7
"01009","0","10","70","0","2016","A","",756,8147,275101272,56070624,704760,649,33766,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,2.9,81,1.0,6994134,2.6,2105988,3.9,-168703,-19.3,10,1.6,526,1.6
"01009","1","10","71","0","2016","A","",10,94,4779834,0,0,980,50985,"",2.13,0.59,0.60,0.00,0.00,1.03,1.03,"",0,0.0,6,6.8,-8147,-0.2,0,0.0,0,0.0,-61,-5.9,-3167,-5.8
"01009","2","10","71","0","2016","A","",11,165,5929785,0,0,691,35956,"",2.04,0.63,0.63,0.00,0.00,1.00,1.00,"",1,10.0,1,0.6,-2778,0.0,0,0.0,0,0.0,-4,-0.6,-163,-0.5
"01009","3","10","71","0","2016","A","",44,1648,59235579,901521,13326,691,35944,"",3.34,2.05,2.41,1.17,3.32,1.18,1.18,"",0,0.0,-3,-0.2,993087,1.7,17814,2.0,1099,9.0,13,1.9,663,1.9
"01009","5","10","71","0","2016","A","",691,6241,205156074,55169103,691434,632,32874,"",0.94,0.90,0.88,1.00,0.99,0.98,0.98,"",20,3.0,79,1.3,6011972,3.0,2088174,3.9,-169802,-19.7,11,1.8,557,1.7
"01011","0","10","70","0","2016","A","",144,2963,97928586,22396966,444650,636,33050,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.7,58,2.0,2627350,2.8,1773958,8.6,-64628,-12.7,5,0.8,249,0.8
"01011","1","10","71","0","2016","A","",6,38,1875674,0,0,958,49797,"",6.71,0.65,0.67,0.00,0.00,1.03,1.03,"",1,20.0,2,5.6,53475,2.9,0,0.0,0,0.0,-15,-1.5,-820,-1.6
"01011","2","10","71","0","2016","A","",9,237,10722195,0,0,869,45210,"",8.77,2.48,3.19,0.00,0.00,1.28,1.28,"",0,0.0,-17,-6.7,-73820,-0.7,0,0.0,0,0.0,51,6.2,2692,6.3
"01011","3","10","71","0","2016","A","",14,398,12252621,0,0,592,30773,"",5.58,1.36,1.40,0.00,0.00,1.03,1.03,"",0,0.0,-25,-5.9,-170953,-1.4,0,0.0,0,0.0,27,4.8,1391,4.7
"01011","5","10","71","0","2016","A","",116,2290,73078096,22396966,444650,614,31912,"",0.83,0.91,0.88,1.02,1.01,0.97,0.97,"",-1,-0.9,97,4.4,2818648,4.0,1773958,8.6,-64628,-12.7,-2,-0.3,-131,-0.4
"01013","0","10","70","0","2016","A","",487,6903,230266148,57719276,997614,642,33358,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,2.3,62,0.9,6724943,3.0,2546881,4.6,-374709,-27.3,14,2.2,681,2.1
"01013","1","10","71","0","2016","A","",5,41,1858216,0,0,863,44866,"",1.65,0.30,0.28,0.00,0.00,0.92,0.92,"",0,0.0,1,2.5,-27777,-1.5,0,0.0,0,0.0,-51,-5.6,-2680,-5.6
"01013","2","10","71","0","2016","A","",13,98,4250063,0,0,838,43553,"",3.75,0.44,0.54,0.00,0.00,1.22,1.22,"",2,18.2,-2,-2.0,27200,0.6,0,0.0,0,0.0,29,3.6,1500,3.6
"01013","3","10","71","0","2016","A","",24,793,27563601,224941,6027,668,34748,"",2.83,1.16,1.34,0.28,1.06,1.15,1.15,"",0,0.0,-3,-0.4,95894,0.3,33053,17.2,1888,45.6,4,0.6,244,0.7
"01013","5","10","71","0","2016","A","",445,5971,196594268,57494335,991587,633,32927,"",0.94,1.02,1.01,1.02,1.00,0.99,0.99,"",10,2.3,66,1.1,6629626,3.5,2513828,4.6,-376597,-27.5,14,2.3,755,2.3
"01015","0","10","70","0","2016","A","",2508,43763,1648250538,295059639,4587603,724,37663,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",36,1.5,135,0.3,42985381,2.7,8557881,3.0,-1230064,-21.1,16,2.3,868,2.4
"01015","1","10","71","0","2016","A","",43,3666,230183268,0,0,1208,62797,"",2.76,4.26,4.85,0.00,0.00,1.14,1.14,"",1,2.4,-47,-1.3,-161337,-0.1,0,0.0,0,0.0,15,1.3,758,1.2
"01015","2","10","71","0","2016","A","",26,1675,74937794,0,0,861,44748,"",1.46,1.19,1.32,0.00,0.00,1.12,1.11,"",-1,-3.7,-19,-1.1,1360660,1.8,0,0.0,0,0.0,26,3.1,1310,3.0
"01015","3","10","71","0","2016","A","",70,6285,242188329,1237261,11206,741,38533,"",1.60,1.46,1.65,0.31,0.43,1.13,1.13,"",0,0.0,27,0.4,4666021,2.0,19769,1.6,-3154,-22.0,11,1.5,575,1.5
"01015","5","10","71","0","2016","A","",2368,32138,1100941147,293822378,4576397,659,34257,"",0.97,0.86,0.79,1.02,1.00,0.91,0.91,"",35,1.5,175,0.5,37120037,3.5,8538112,3.0,-1226910,-21.1,19,3.0,974,2.9
"01017","0","10","70","0","2016","A","",600,8057,287998103,57615500,767046,687,35746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.7,15,0.2,9076775,3.3,243573,0.4,-394656,-34.0,20,3.0,1062,3.1
"01017","1","10","71","0","2016","A","",5,51,2510477,0,0,954,49631,"",1.34,0.32,0.30,0.00,0.00,0.95,0.95,"",0,0.0,1,2.0,-18989,-0.8,0,0.0,0,0.0,-20,-2.1,-1043,-2.1
"01017","2","10","71","0","2016","A","",15,146,5053777,0,0,667,34694,"",3.51,0.56,0.51,0.00,0.00,0.91,0.91,"",1,7.1,1,0.7,3845,0.1,0,0.0,0,0.0,-5,-0.7,-233,-0.7
"01017","3","10","71","0","2016","A","",60,1624,58219086,430046,4502,690,35858,"",5.74,2.04,2.27,0.54,1.03,1.11,1.11,"",0,0.0,-32,-1.9,-185394,-0.3,23280,5.7,-1595,-26.2,12,1.8,597,1.7
"01017","5","10","71","0","2016","A","",520,6237,222214763,57185454,762544,685,35629,"",0.89,0.91,0.91,1.01,1.00,1.00,1.00,"",9,1.8,46,0.7,9277313,4.4,220293,0.4,-393061,-34.0,24,3.6,1234,3.6
"01019","0","10","70","0","2016","A","",407,5074,168109058,35048581,578815,637,33130,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.2,17,0.3,990268,0.6,-1510990,-4.1,-401064,-40.9,2,0.3,85,0.3
"01019","1","10","71","0","2016","A","",8,46,2188476,0,0,920,47836,"",3.16,0.46,0.45,0.00,0.00,0.99,0.99,"",0,0.0,-2,-4.2,-160412,-6.8,0,0.0,0,0.0,-18,-1.9,-930,-1.9
"01019","2","10","71","0","2016","A","",11,93,3726481,0,0,771,40070,"",3.79,0.57,0.65,0.00,0.00,1.14,1.13,"",0,0.0,-2,-2.1,87657,2.4,0,0.0,0,0.0,30,4.0,1564,4.1
"01019","3","10","71","0","2016","A","",23,1143,38545681,454356,6747,649,33723,"",3.24,2.28,2.57,0.95,2.05,1.13,1.13,"",0,0.0,18,1.6,1386629,3.7,-10222,-2.2,-2227,-24.8,14,2.2,693,2.1
"01019","5","10","71","0","2016","A","",365,3793,123648420,34594225,572068,627,32603,"",0.93,0.88,0.87,1.01,0.99,0.99,0.99,"",-5,-1.4,3,0.1,-323606,-0.3,-1500768,-4.2,-398837,-41.1,-2,-0.3,-111,-0.3
"01021","0","10","70","0","2016","A","",758,9408,324905937,76492288,1289194,664,34534,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,158,1.7,7091460,2.2,6434264,9.2,-233507,-15.3,3,0.5,175,0.5
"01021","1","10","71","0","2016","A","",6,62,2731698,0,0,844,43883,"",1.27,0.33,0.29,0.00,0.00,0.87,0.87,"",-1,-14.3,1,1.6,-169135,-5.8,0,0.0,0,0.0,-76,-8.3,-3933,-8.2
"01021","2","10","71","0","2016","A","",14,244,9989606,0,0,789,41011,"",2.59,0.81,0.90,0.00,0.00,1.11,1.11,"",0,0.0,1,0.4,-267662,-2.6,0,0.0,0,0.0,-24,-3.0,-1243,-2.9
"01021","3","10","71","0","2016","A","",33,1548,49769754,1904403,13521,618,32144,"",2.50,1.67,1.72,1.82,1.84,1.03,1.03,"",0,0.0,66,4.5,999117,2.0,-137291,-6.7,-7489,-35.6,-15,-2.4,-767,-2.3
"01021","5","10","71","0","2016","A","",705,7554,262414879,74587885,1275673,668,34738,"",0.96,0.95,0.95,0.99,1.00,1.01,1.01,"",2,0.3,89,1.2,6529140,2.6,6571555,9.7,-226018,-15.1,9,1.4,458,1.3
"01023","0","10","70","0","2016","A","",283,3333,156752507,24951602,350616,904,47033,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-30,-0.9,-2073241,-1.3,-611485,-2.4,-123429,-26.0,-4,-0.4,-193,-0.4
"01023","1","10","71","0","2016","A","",7,25,975354,0,0,758,39408,"",3.98,0.38,0.22,0.00,0.00,0.57,0.57,"",0,0.0,0,0.0,51174,5.5,0,0.0,0,0.0,59,8.4,3047,8.4
"01023","2","10","71","0","2016","A","",11,68,2341695,0,0,661,34352,"",5.46,0.63,0.44,0.00,0.00,0.69,0.69,"",0,0.0,-2,-2.9,49717,2.2,0,0.0,0,0.0,31,4.9,1570,4.8
"01023","3","10","71","0","2016","A","",23,394,12527524,271427,2100,612,31836,"",4.66,1.20,0.90,0.79,1.05,0.75,0.75,"",0,0.0,6,1.5,145135,1.2,11278,4.3,-512,-19.6,-1,-0.2,-43,-0.1
"01023","5","10","71","0","2016","A","",242,2846,140907934,24680175,348516,952,49504,"",0.88,1.01,1.06,1.01,1.00,1.06,1.05,"",0,0.0,-33,-1.1,-2319267,-1.6,-622763,-2.5,-122917,-26.1,-5,-0.5,-239,-0.5
"01025","0","10","70","0","2016","A","",662,8150,308458033,57868036,770776,728,37846,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.5,3,0.0,19021,0.0,-1291607,-2.2,-281946,-26.8,0,0.0,-12,0.0
"01025","1","10","71","0","2016","A","",14,76,4280775,0,0,1077,56019,"",3.40,0.47,0.48,0.00,0.00,1.01,1.01,"",0,0.0,-4,-5.0,-175332,-3.9,0,0.0,0,0.0,0,0.0,26,0.0
"01025","2","10","71","0","2016","A","",18,352,15416284,0,0,842,43776,"",3.82,1.34,1.46,0.00,0.00,1.09,1.08,"",0,0.0,-5,-1.4,-205624,-1.3,0,0.0,0,0.0,0,0.0,-3,0.0
"01025","3","10","71","0","2016","A","",38,1324,47314215,1330781,13638,687,35745,"",3.29,1.65,1.72,1.68,3.11,1.04,1.05,"",2,5.6,5,0.4,481945,1.0,-34949,-2.6,-3572,-20.8,4,0.6,250,0.7
"01025","5","10","71","0","2016","A","",591,6398,241446759,56537255,757138,726,37738,"",0.92,0.92,0.92,1.00,0.99,1.00,1.00,"",0,0.0,7,0.1,-81968,0.0,-1256658,-2.2,-278374,-26.9,-1,-0.1,-52,-0.1
"01027","0","10","70","0","2016","A","",213,3925,128504999,29171357,347681,630,32737,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.4,84,2.2,6000177,4.9,1273781,4.6,-227796,-39.6,17,2.8,842,2.6
"01027","1","10","71","0","2016","A","",6,52,2659507,0,0,982,51063,"",4.53,0.67,0.72,0.00,0.00,1.07,1.07,"",0,0.0,1,2.0,37454,1.4,0,0.0,0,0.0,-12,-1.2,-603,-1.2
"01027","2","10","71","0","2016","A","",9,49,1957645,0,0,768,39952,"",5.93,0.39,0.44,0.00,0.00,1.14,1.14,"",0,0.0,-4,-7.5,-216242,-9.9,0,0.0,0,0.0,-26,-3.3,-1324,-3.2
"01027","3","10","71","0","2016","A","",19,849,25508606,643330,5987,578,30054,"",5.12,2.19,2.23,1.61,3.03,1.01,1.02,"",-1,-5.0,18,2.2,228797,0.9,26986,4.4,-2785,-31.7,-7,-1.2,-373,-1.2
"01027","5","10","71","0","2016","A","",179,2976,98379241,28528027,341694,636,33062,"",0.87,0.89,0.90,1.00,0.99,1.01,1.01,"",4,2.3,69,2.4,5950168,6.4,1246795,4.6,-225011,-39.7,24,3.9,1263,4.0
"01029","0","10","70","0","2016","A","",214,2262,94315046,16114217,373534,802,41692,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,4.4,76,3.5,203913,0.2,162654,1.0,-69967,-15.8,-26,-3.1,-1358,-3.2
"01029","1","10","71","0","2016","A","",6,41,2219244,0,0,1045,54349,"",4.51,0.92,0.82,0.00,0.00,0.89,0.89,"",0,0.0,-1,-2.4,-74733,-3.3,0,0.0,0,0.0,-3,-0.3,-161,-0.3
"01029","2","10","71","0","2016","A","",10,128,3545662,0,0,535,27809,"",6.56,1.76,1.09,0.00,0.00,0.63,0.63,"",0,0.0,11,9.4,75838,2.2,0,0.0,0,0.0,-35,-6.1,-1827,-6.2
"01029","3","10","71","0","2016","A","",33,618,21936810,1255700,19793,683,35511,"",8.85,2.77,2.61,5.68,9.32,0.94,0.94,"",0,0.0,15,2.5,662230,3.1,-49609,-3.8,3516,21.6,5,0.7,249,0.7
"01029","5","10","71","0","2016","A","",165,1476,66613330,14858517,353741,868,45128,"",0.80,0.77,0.83,0.94,0.95,1.08,1.08,"",9,5.8,52,3.7,-459422,-0.7,212263,1.4,-73483,-17.2,-38,-4.2,-1987,-4.2
"01031","0","10","70","0","2016","A","",1074,15300,507599957,125002196,1952577,638,33176,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,2.3,90,0.6,11506936,2.3,6222631,5.2,-452926,-18.8,11,1.8,560,1.7
"01031","1","10","71","0","2016","A","",16,233,13089735,0,0,1080,56139,"",2.40,0.77,0.90,0.00,0.00,1.16,1.16,"",0,0.0,4,1.7,183181,1.4,0,0.0,0,0.0,-6,-0.6,-345,-0.6
"01031","2","10","71","0","2016","A","",21,422,16670293,0,0,759,39480,"",2.74,0.86,0.96,0.00,0.00,1.12,1.12,"",1,5.0,12,2.9,999049,6.4,0,0.0,0,0.0,23,3.1,1226,3.2
"01031","3","10","71","0","2016","A","",42,1853,68232638,2011591,11868,708,36831,"",2.24,1.23,1.51,1.17,1.07,1.23,1.23,"",0,0.0,11,0.6,1756782,2.6,76123,3.9,-5358,-31.1,14,2.0,734,2.0
"01031","5","10","71","0","2016","A","",995,12792,409607291,122990605,1940709,616,32020,"",0.96,0.98,0.95,1.00,1.00,0.97,0.97,"",23,2.4,62,0.5,8567924,2.1,6146508,5.3,-447568,-18.7,10,1.7,517,1.6
"01033","0","10","70","0","2016","A","",1289,23907,1009219193,180315366,3201606,812,42215,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.2,227,1.0,19190232,1.9,330884,0.2,-771245,-19.4,8,1.0,406,1.0
"01033","1","10","71","0","2016","A","",14,660,66837002,0,0,1946,101204,"",1.75,1.40,2.30,0.00,0.00,1.64,1.64,"",0,0.0,-23,-3.4,-736741,-1.1,0,0.0,0,0.0,43,2.3,2243,2.3
"01033","2","10","71","0","2016","A","",18,658,24253707,0,0,709,36846,"",1.96,0.85,0.70,0.00,0.00,0.82,0.82,"",-1,-5.3,-6,-0.9,-241671,-1.0,0,0.0,0,0.0,-1,-0.1,-72,-0.2
"01033","3","10","71","0","2016","A","",46,3331,127206951,1418173,14785,734,38192,"",2.05,1.41,1.41,0.57,0.81,1.00,1.00,"",0,0.0,23,0.7,2577272,2.1,-1947,-0.1,-9067,-38.0,10,1.4,520,1.4
"01033","5","10","71","0","2016","A","",1211,19258,790921533,178897193,3186821,790,41071,"",0.97,0.95,0.92,1.01,1.00,0.97,0.97,"",-1,-0.1,233,1.2,17591372,2.3,332831,0.2,-762178,-19.3,8,1.0,424,1.0
"01035","0","10","70","0","2016","A","",252,3428,118313507,25695515,414221,664,34510,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-103,-2.9,-495959,-0.4,-759027,-2.9,-163407,-28.3,17,2.6,861,2.6
"01035","1","10","71","0","2016","A","",4,27,1182648,0,0,848,44074,"",2.55,0.40,0.35,0.00,0.00,0.87,0.87,"",0,0.0,-2,-6.9,-65984,-5.3,0,0.0,0,0.0,32,3.9,1628,3.8
"01035","2","10","71","0","2016","A","",12,177,7812170,0,0,849,44137,"",6.68,1.60,1.92,0.00,0.00,1.20,1.20,"",0,0.0,-5,-2.7,-941091,-10.8,0,0.0,0,0.0,-75,-8.1,-3914,-8.1
"01035","3","10","71","0","2016","A","",20,506,17247877,113376,670,656,34092,"",4.55,1.50,1.63,0.32,0.28,1.09,1.09,"",0,0.0,9,1.8,807482,4.9,3182,2.9,-311,-31.7,20,3.1,1018,3.1
"01035","5","10","71","0","2016","A","",216,2719,92070812,25582139,413551,651,33866,"",0.88,0.93,0.92,1.02,1.00,0.98,0.98,"",-2,-0.9,-103,-3.6,-296366,-0.3,-762209,-2.9,-163096,-28.3,22,3.5,1137,3.5
"01037","0","10","70","0","2016","A","",123,1344,48265212,9578833,182594,691,35914,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,5.1,53,4.1,2148473,4.7,558523,6.2,-29042,-13.7,4,0.6,199,0.6
"01037","1","10","71","0","2016","A","",5,18,761179,0,0,817,42484,"",6.54,0.68,0.55,0.00,0.00,0.81,0.81,"",0,0.0,-1,-5.3,1294,0.2,0,0.0,0,0.0,48,6.2,2490,6.2
"01037","2","10","71","0","2016","A","N",9,0,0,0,0,0,0,"N",10.27,0,0,0,0,0,0,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0
"01037","3","10","71","0","2016","A","N",16,0,0,0,0,0,0,"N",7.46,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","10","71","0","2016","A","",93,993,37776647,9502251,182142,732,38049,"",0.78,0.87,0.92,1.01,1.00,1.06,1.06,"",4,4.5,62,6.7,2388393,6.7,564467,6.3,-28760,-13.6,1,0.1,28,0.1
"01039","0","10","70","0","2016","A","",896,12155,417630642,90460207,2112409,661,34359,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.2,-60,-0.5,10132246,2.5,-602508,-0.7,-267286,-11.2,19,3.0,999,3.0
"01039","1","10","71","0","2016","A","",13,118,6240794,0,0,1018,52925,"",2.33,0.49,0.52,0.00,0.00,1.05,1.05,"",1,8.3,5,4.4,-26162,-0.4,0,0.0,0,0.0,-48,-4.5,-2494,-4.5
"01039","2","10","71","0","2016","A","",15,369,15524201,0,0,808,42024,"",2.35,0.94,1.08,0.00,0.00,1.15,1.15,"",0,0.0,6,1.7,140331,0.9,0,0.0,0,0.0,-6,-0.7,-317,-0.7
"01039","3","10","71","0","2016","A","",48,1596,52187628,308473,5212,629,32699,"",3.07,1.33,1.40,0.25,0.43,1.05,1.05,"",-1,-2.0,-5,-0.3,707600,1.4,-12900,-4.0,-1167,-18.3,11,1.8,541,1.7
"01039","5","10","71","0","2016","A","",821,10072,343678019,90151734,2107197,656,34123,"",0.95,0.98,0.97,1.02,1.00,0.99,1.00,"",-1,-0.1,-66,-0.7,9310477,2.8,-589608,-0.6,-266119,-11.2,22,3.5,1142,3.5
"01041","0","10","70","0","2016","A","",258,3807,134492247,31052147,668549,679,35327,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.2,37,1.0,1186204,0.9,173572,0.6,-161095,-19.4,-1,-0.1,-37,-0.1
"01041","1","10","71","0","2016","A","",9,37,1600071,0,0,835,43441,"",5.61,0.49,0.41,0.00,0.00,0.84,0.84,"",0,0.0,0,0.0,101539,6.8,0,0.0,0,0.0,58,7.5,3031,7.5
"01041","2","10","71","0","2016","A","",10,48,1949742,0,0,783,40690,"",5.44,0.39,0.42,0.00,0.00,1.08,1.08,"",-1,-9.1,0,0.0,-81747,-4.0,0,0.0,0,0.0,-37,-4.5,-1929,-4.5
"01041","3","10","71","0","2016","A","",22,532,17674965,275067,1623,640,33255,"",4.89,1.42,1.47,0.65,0.43,1.04,1.04,"",0,0.0,8,1.5,993024,6.0,3808,1.4,-792,-32.8,27,4.4,1404,4.4
